iter	Logloss
0	0.6920906766
1	0.6913025746
2	0.689909044
3	0.6890403328
4	0.6880009022
5	0.6870793974
6	0.6860198825
7	0.6852653784
8	0.6840432551
9	0.6835944094
10	0.6822218657
11	0.6810089145
12	0.6802061886
13	0.6792895757
14	0.6786282455
15	0.6779742076
16	0.6774054352
17	0.6771951301
18	0.6761037227
19	0.6754091861
20	0.6751394971
21	0.6743478222
22	0.6736780686
23	0.6727341002
24	0.6722343342
25	0.6714598712
26	0.6703750803
27	0.6695758249
28	0.6691439992
29	0.6685696643
30	0.6672654131
31	0.6662287617
32	0.6653911793
33	0.6639748664
34	0.6631549383
35	0.6626154578
36	0.66193423
37	0.6612291713
38	0.6603648095
39	0.6595365315
40	0.6589255346
41	0.658523875
42	0.6582302448
43	0.6575701159
44	0.657110529
45	0.6565242121
46	0.6559782066
47	0.6557097613
48	0.6546917437
49	0.6543285221
50	0.6539688741
51	0.6533672202
52	0.6525155636
53	0.6512774758
54	0.6507219509
55	0.6499008834
56	0.6487981154
57	0.6482915539
58	0.647736505
59	0.6472642644
60	0.6465024433
61	0.6460095231
62	0.6450574133
63	0.6442495731
64	0.6430088405
65	0.6423273745
66	0.6420036321
67	0.6407008862
68	0.639491252
69	0.6389882061
70	0.6384882149
71	0.6381020111
72	0.6372614081
73	0.6366224842
74	0.6357409836
75	0.6350445131
76	0.6341990771
77	0.6337463015
78	0.63324769
79	0.6328493564
80	0.632269121
81	0.6318061903
82	0.6309631436
83	0.6303191076
84	0.6296404288
85	0.6288347403
86	0.6287569169
87	0.6278450504
88	0.627307627
89	0.6264488232
90	0.625839315
91	0.6249488235
92	0.6244538096
93	0.6242128633
94	0.6238903296
95	0.6235598863
96	0.6232419816
97	0.6227693901
98	0.6216503755
99	0.6208055247
100	0.6202179232
101	0.6197165792
102	0.6196705271
103	0.6190208863
104	0.6187328252
105	0.6185007402
106	0.6177907692
107	0.6172001584
108	0.6165125133
109	0.6159053107
110	0.6154649675
111	0.614944798
112	0.6143321415
113	0.6138030285
114	0.6130528585
115	0.6123970771
116	0.6117385284
117	0.6114503569
118	0.6105663698
119	0.6102737
120	0.6099467751
121	0.6091456373
122	0.6083246698
123	0.6079931801
124	0.6076602362
125	0.6071351539
126	0.6065911181
127	0.605994435
128	0.6053784623
129	0.6052215109
130	0.6045443046
131	0.6037742659
132	0.6030798514
133	0.6028293884
134	0.6023642611
135	0.601910807
136	0.6015466137
137	0.6008752717
138	0.6002641508
139	0.5993998234
140	0.5989828775
141	0.5984328902
142	0.5978733444
143	0.5972962475
144	0.5968743709
145	0.5968100479
146	0.5965716974
147	0.5955807498
148	0.5953550303
149	0.594890957
150	0.5942333719
151	0.5935929814
152	0.593009693
153	0.5923763585
154	0.5918987552
155	0.5915622087
156	0.5912188795
157	0.5907883126
158	0.5905253052
159	0.590222976
160	0.5896985299
161	0.5892425743
162	0.5888468074
163	0.5884806309
164	0.5879509526
165	0.5875414717
166	0.5873266301
167	0.5870401748
168	0.5866484482
169	0.5861396567
170	0.58563324
171	0.5848699143
172	0.5844132948
173	0.5839718219
174	0.5836447845
175	0.5833470087
176	0.5827936066
177	0.5824501951
178	0.5822256556
179	0.5820271064
180	0.581551068
181	0.5811475788
182	0.580921276
183	0.5805874352
184	0.580204874
185	0.5796209478
186	0.5794652892
187	0.5793394068
188	0.5788484089
189	0.5782425839
190	0.5777518765
191	0.5775224038
192	0.5771376599
193	0.5765725389
194	0.5761020726
195	0.5756535524
196	0.5754395276
197	0.5752366424
198	0.5748757709
199	0.5743739736
200	0.5739705573
201	0.5735229591
202	0.5732728411
203	0.5728377946
204	0.5723696086
205	0.5719132934
206	0.5715504331
207	0.5709178617
208	0.5703420127
209	0.5697198664
210	0.56932373
211	0.5688797155
212	0.5684096615
213	0.5680428676
214	0.5675703489
215	0.567204212
216	0.566981161
217	0.5664495111
218	0.5655361445
219	0.5651872467
220	0.5648092077
221	0.564631221
222	0.5641531949
223	0.5637349438
224	0.5633558785
225	0.5628292977
226	0.562335144
227	0.5616815635
228	0.5613216515
229	0.5611708926
230	0.560871374
231	0.5604783314
232	0.5604507555
233	0.560327353
234	0.559745323
235	0.5592751113
236	0.5588653887
237	0.5586411452
238	0.5583687932
239	0.558126953
240	0.5576938947
241	0.5572254323
242	0.5568747249
243	0.5563485709
244	0.556214002
245	0.5559685492
246	0.5555266346
247	0.5552256741
248	0.5548219849
249	0.554441493
250	0.5541369722
251	0.5539035053
252	0.5533932001
253	0.5530735091
254	0.5527683892
255	0.5524746431
256	0.551984307
257	0.5517484446
258	0.5509506071
259	0.5506814632
260	0.5504608988
261	0.5500690683
262	0.5496501
263	0.549297581
264	0.5487475939
265	0.5485398182
266	0.5479807806
267	0.5475203015
268	0.5474571027
269	0.5472425529
270	0.5467047156
271	0.5463383565
272	0.5460866106
273	0.5460411082
274	0.5458095224
275	0.545505381
276	0.5448108668
277	0.5445639206
278	0.5443823299
279	0.5436682876
280	0.5432774101
281	0.5430308644
282	0.5428220267
283	0.5426663772
284	0.5424659122
285	0.5421263001
286	0.5421049064
287	0.5418568604
288	0.5410581339
289	0.5408043729
290	0.5406693245
291	0.540554315
292	0.5401129123
293	0.539785556
294	0.5392445304
295	0.5388128693
296	0.5384627435
297	0.5383447003
298	0.5378396037
299	0.5376452307
300	0.5372906229
301	0.5370631806
302	0.5367116405
303	0.5363998272
304	0.5361889912
305	0.5357724138
306	0.5354970408
307	0.5347572853
308	0.5345116106
309	0.5343242816
310	0.5339620925
311	0.5335043647
312	0.533052632
313	0.5326580215
314	0.5321532464
315	0.5316010041
316	0.5309620474
317	0.5306509303
318	0.5304429485
319	0.5300504175
320	0.5296376426
321	0.5292591138
322	0.5285674448
323	0.5284035646
324	0.5279450549
325	0.5277187508
326	0.5275010482
327	0.5274127498
328	0.5273372803
329	0.5270414025
330	0.5267603663
331	0.5266785978
332	0.5265750037
333	0.5263052099
334	0.525981539
335	0.5257919416
336	0.5254628608
337	0.5253139138
338	0.5250037005
339	0.5244322088
340	0.5242703403
341	0.5241910289
342	0.5236850757
343	0.5234027136
344	0.5229339795
345	0.5224083545
346	0.5222207544
347	0.5221197546
348	0.5218794418
349	0.521535498
350	0.5211946977
351	0.5210200213
352	0.5205808751
353	0.5202881342
354	0.5199152205
355	0.519741143
356	0.5196688814
357	0.5189800629
358	0.5188914173
359	0.5185986956
360	0.5182617677
361	0.518143904
362	0.5178411281
363	0.5174740822
364	0.5173299969
365	0.5166116612
366	0.5161864025
367	0.5159781957
368	0.5157917148
369	0.515550211
370	0.5154482851
371	0.5151375362
372	0.5148753223
373	0.5147391517
374	0.5141152232
375	0.5140530053
376	0.5138513011
377	0.5135396859
378	0.5131305998
379	0.5128616843
380	0.5127981338
381	0.5126863814
382	0.512510338
383	0.5124800294
384	0.5120604297
385	0.5118468207
386	0.5116331915
387	0.5112131975
388	0.5110017285
389	0.5108502182
390	0.5105823205
391	0.5102580741
392	0.509997313
393	0.5096595104
394	0.5092461901
395	0.5090998647
396	0.5086277347
397	0.5083920122
398	0.5083780013
399	0.508315442
400	0.5080402568
401	0.5078623409
402	0.5075760151
403	0.5072139848
404	0.5071694018
405	0.5069642577
406	0.5066999998
407	0.5064742672
408	0.5062392517
409	0.5061705529
410	0.5061520589
411	0.5057787286
412	0.5055071399
413	0.5053618751
414	0.5052126447
415	0.5048905432
416	0.5046140275
417	0.5043727945
418	0.504217044
419	0.5039742466
420	0.5037409198
421	0.50364463
422	0.5034447635
423	0.5033051716
424	0.503022148
425	0.5029622955
426	0.5027902586
427	0.502288808
428	0.5020510633
429	0.50194992
430	0.5015404071
431	0.5012328612
432	0.5010334474
433	0.5008703205
434	0.5005747128
435	0.5001361265
436	0.4999342468
437	0.4995640635
438	0.4994396765
439	0.4991284621
440	0.4989688236
441	0.498839344
442	0.4985512292
443	0.4983072137
444	0.4981839251
445	0.4979713823
446	0.4976095523
447	0.4975662759
448	0.4971765059
449	0.4969398558
450	0.4967245036
451	0.4964814761
452	0.4962655992
453	0.496039986
454	0.4958148683
455	0.4957940367
456	0.4956151405
457	0.4955770218
458	0.4952603968
459	0.4952194266
460	0.4951186005
461	0.4949217743
462	0.4944984142
463	0.4938864434
464	0.493414011
465	0.4932065952
466	0.493028864
467	0.4927636424
468	0.4924957612
469	0.492235165
470	0.4919713082
471	0.4916022465
472	0.4912938621
473	0.491136028
474	0.4907608057
475	0.4904396256
476	0.4901433281
477	0.4898107585
478	0.4895757812
479	0.4892663252
480	0.4891503061
481	0.4890716831
482	0.4888078383
483	0.4884625805
484	0.4882931293
485	0.4879316998
486	0.4876329833
487	0.4875058667
488	0.4871957649
489	0.4870463919
490	0.4869563935
491	0.4867581112
492	0.4866904544
493	0.486419766
494	0.4861891846
495	0.4860389203
496	0.4858974006
497	0.4858084914
498	0.4855804391
499	0.4854136497
500	0.4852653168
501	0.4852600662
502	0.4850393108
503	0.4849434865
504	0.484852457
505	0.4846923947
506	0.4846188742
507	0.484373966
508	0.4840247076
509	0.4838650283
510	0.4836766331
511	0.4833580088
512	0.4830370386
513	0.4828828493
514	0.4826984867
515	0.4826598773
516	0.4822897936
517	0.4820489801
518	0.4818508419
519	0.4817012728
520	0.4814344278
521	0.4812992371
522	0.4811631119
523	0.4808046144
524	0.4807032354
525	0.4805087876
526	0.4803878725
527	0.4802527078
528	0.4800446209
529	0.4798913918
530	0.4797912777
531	0.4797422622
532	0.4794124926
533	0.4792238481
534	0.4790914219
535	0.4788850256
536	0.4785082
537	0.4783627736
538	0.4780199109
539	0.4777857726
540	0.4775820723
541	0.4775139858
542	0.4774554896
543	0.4770708495
544	0.4768305447
545	0.476460277
546	0.4762173318
547	0.476000081
548	0.475923468
549	0.4756583806
550	0.4755391058
551	0.4751359968
552	0.4748484268
553	0.4747734917
554	0.4744795151
555	0.4741848102
556	0.4740498692
557	0.4737962629
558	0.4737885583
559	0.4735108504
560	0.4732973767
561	0.4730621118
562	0.4728514391
563	0.4727363946
564	0.4723585188
565	0.4723068661
566	0.4721397708
567	0.4719512025
568	0.4716831786
569	0.4714347262
570	0.4712934571
571	0.4710128097
572	0.4709667032
573	0.4708933892
574	0.4707126489
575	0.4706125284
576	0.4704404853
577	0.4703039257
578	0.4702291637
579	0.4699417576
580	0.4698625475
581	0.4694455255
582	0.4692618133
583	0.4690986674
584	0.4687691588
585	0.4684201986
586	0.4680775962
587	0.4680080323
588	0.4677926563
589	0.4677517372
590	0.4676841945
591	0.467549625
592	0.4672038598
593	0.466956734
594	0.4668725633
595	0.4667065727
596	0.4665658322
597	0.4662973339
598	0.4661704807
599	0.4657172038
600	0.465370852
601	0.4651870065
602	0.4649322785
603	0.4648117628
604	0.4646603139
605	0.4643259474
606	0.4639795977
607	0.4636879858
608	0.4635116908
609	0.4632803981
610	0.4629781556
611	0.4624672395
612	0.4622113419
613	0.4620012766
614	0.4617996774
615	0.4616851447
616	0.461395159
617	0.4609953129
618	0.4608431131
619	0.4607326006
620	0.4605828783
621	0.4604330426
622	0.4602964882
623	0.4600433725
624	0.4598122808
625	0.4596604193
626	0.4593182914
627	0.4591328079
628	0.4588367888
629	0.4587309181
630	0.4584977711
631	0.4583215098
632	0.458208939
633	0.458007486
634	0.4577273108
635	0.4576242949
636	0.4572234926
637	0.4571190794
638	0.4567761464
639	0.456685828
640	0.456604665
641	0.4564729953
642	0.4563967754
643	0.4561389141
644	0.4559863092
645	0.455790577
646	0.4556202561
647	0.4554339709
648	0.4551683012
649	0.4551095404
650	0.4550857863
651	0.4549132706
652	0.4544990523
653	0.4542793199
654	0.4541626526
655	0.4540125168
656	0.4536969547
657	0.4535134866
658	0.4534770889
659	0.4531573971
660	0.4529571053
661	0.4528971543
662	0.4527569538
663	0.4524178587
664	0.452233271
665	0.4519367964
666	0.4517987378
667	0.4516406591
668	0.4516134306
669	0.4514313261
670	0.4511455242
671	0.4510522605
672	0.4508719308
673	0.4507061246
674	0.4504001136
675	0.4501552602
676	0.4501068055
677	0.4498041592
678	0.4496406453
679	0.4494057188
680	0.4493148905
681	0.4490780241
682	0.4489608934
683	0.4489181848
684	0.4489140734
685	0.4487665471
686	0.4486851639
687	0.4485913364
688	0.4482754222
689	0.4479440853
690	0.4476693233
691	0.4475117952
692	0.4472724692
693	0.4471510262
694	0.4467776293
695	0.44674331
696	0.4465781629
697	0.4465524794
698	0.4463450676
699	0.4460817907
700	0.4459896629
701	0.445930954
702	0.4458289973
703	0.4456551198
704	0.4454400138
705	0.4453515617
706	0.4451170841
707	0.444986202
708	0.4449137419
709	0.4447132345
710	0.4446163907
711	0.4445870153
712	0.4442213248
713	0.4440929073
714	0.4439962441
715	0.4435399071
716	0.443431956
717	0.4432388161
718	0.4431290939
719	0.4429933965
720	0.4427646128
721	0.4424684388
722	0.4423534088
723	0.4421613467
724	0.4419340928
725	0.4411377585
726	0.4408780132
727	0.4407264063
728	0.4404002252
729	0.4402366331
730	0.4401786658
731	0.4400223614
732	0.4396316359
733	0.4394260423
734	0.4392493561
735	0.4391093723
736	0.4388937702
737	0.4387449989
738	0.4386448991
739	0.438331095
740	0.4382690578
741	0.4380099489
742	0.4378524143
743	0.4375976124
744	0.4374377095
745	0.437091059
746	0.4368168992
747	0.4365837932
748	0.4364548806
749	0.4363280902
750	0.4359828437
751	0.4359274066
752	0.43571088
753	0.435532777
754	0.4352353614
755	0.4351182064
756	0.4349691875
757	0.4348397846
758	0.434689964
759	0.43453905
760	0.4341752511
761	0.4338870787
762	0.4337500944
763	0.4335153827
764	0.4334461096
765	0.4332550696
766	0.4331661174
767	0.4331140962
768	0.4329766699
769	0.4329328144
770	0.4326827721
771	0.4323537964
772	0.4321443873
773	0.4320015459
774	0.4318435618
775	0.4316583144
776	0.4315542195
777	0.4314228302
778	0.4312554279
779	0.4310152223
780	0.4308575658
781	0.4307475331
782	0.4305200802
783	0.4302147438
784	0.4297957361
785	0.4296629003
786	0.4296514096
787	0.429464104
788	0.4292195367
789	0.4290547184
790	0.4289052194
791	0.4287242594
792	0.4285767129
793	0.428442456
794	0.4282877486
795	0.4279575243
796	0.4275729955
797	0.4274666663
798	0.4273385914
799	0.4268928916
800	0.426825713
801	0.4266594327
802	0.4264354338
803	0.4261503788
804	0.4259635829
805	0.4256027451
806	0.425337836
807	0.4252715941
808	0.4250507656
809	0.4249000013
810	0.424772572
811	0.4246744574
812	0.4246093826
813	0.4244734733
814	0.424346733
815	0.4242148143
816	0.4238965312
817	0.4238223154
818	0.4235006268
819	0.4234115422
820	0.4231418414
821	0.4229232247
822	0.4227661992
823	0.4226794787
824	0.4224881687
825	0.4223072427
826	0.4222269104
827	0.422016186
828	0.4216816202
829	0.4213909428
830	0.4210645566
831	0.4209204695
832	0.4207451957
833	0.4205955232
834	0.4205870322
835	0.4203351989
836	0.4202318569
837	0.4200771812
838	0.4198258247
839	0.4197351736
840	0.4195138079
841	0.4194193216
842	0.4192802751
843	0.4190635448
844	0.4187339608
845	0.418593681
846	0.4183090218
847	0.4181336781
848	0.4180538533
849	0.4179366869
850	0.4177583475
851	0.4173967024
852	0.4172200375
853	0.4169425644
854	0.416670788
855	0.4165840497
856	0.4165062421
857	0.4162842167
858	0.4160755395
859	0.4159222298
860	0.4157165847
861	0.4156206147
862	0.4154076858
863	0.4151245503
864	0.414844945
865	0.414694304
866	0.4145715112
867	0.4144635057
868	0.4141820408
869	0.4138432661
870	0.4136386619
871	0.4135225295
872	0.4134224675
873	0.4132111657
874	0.4131025818
875	0.4128487151
876	0.4125182839
877	0.4124069663
878	0.4123444953
879	0.4120280422
880	0.4118055148
881	0.4116077232
882	0.4115327705
883	0.411323163
884	0.4110548862
885	0.4109031238
886	0.4107996837
